dateOfLoss,totalAmountPaid,Date,ONI_Total,ONI_Anomaly,Resident Population,claimsPerCapita
1983-06-01,147367.78,1983-06-01,28.1,0.72,15170438.411168903,0.00971414114779331
1983-07-01,617357.69,1983-07-01,27.36,0.31,15193082.695318917,0.04063412951673143
1983-08-01,114774099.71,1983-08-01,26.66,-0.08,15216481.788940595,7.542748797124596
1983-09-01,27283921.03,1983-09-01,26.12,-0.46,15239880.882562278,1.790297525305379
1983-10-01,662567.37,1983-10-01,25.73,-0.81,15262525.166712292,0.04341138591175368
1983-11-01,40388.28,1983-11-01,25.52,-1.0,15285924.260333972,0.0026421876304074782
1983-12-01,43059.82,1983-12-01,25.62,-0.91,15308568.544483986,0.0028127920566103745
1984-01-01,20676.0,1984-01-01,26.01,-0.6,15331967.638105666,0.0013485548944554525
1984-02-01,90391.15000000001,1984-02-01,26.41,-0.42,15355366.731727349,0.005886616163535403
1984-03-01,16526.3,1984-03-01,26.83,-0.34,15377256.206405694,0.001074723590357794
1984-04-01,16272.119999999999,1984-04-01,27.04,-0.43,15400655.300027374,0.0010565862090278118
1984-05-01,139615.96,1984-05-01,27.06,-0.51,15423299.584177388,0.009052275697427977
1984-06-01,82255.66,1984-06-01,26.94,-0.45,15446698.677799068,0.005325128800383918
1984-07-01,11821.59,1984-07-01,26.74,-0.3,15469342.961949082,0.0007641947062055777
1984-08-01,52243.58,1984-08-01,26.59,-0.16,15492742.055570764,0.0033721325645652664
1984-09-01,942618.64,1984-09-01,26.34,-0.24,15516141.149192443,0.06075084203839302
1984-10-01,22394405.77,1984-10-01,25.98,-0.56,15538785.43334246,1.4411940924254634
1984-11-01,16881.23,1984-11-01,25.61,-0.92,15562184.52696414,0.0010847596602360284
1984-12-01,33958.35,1984-12-01,25.39,-1.14,15584828.811114153,0.0021789363496750743
1985-01-01,17442.36,1985-01-01,25.56,-1.04,15608227.904735832,0.0011175105916224903
1985-02-01,76923.33,1985-02-01,25.98,-0.85,15631626.998357514,0.004921005984091271
